feature_name,n_shots,NRMSE_mean,NRMSE_std_pop,NMAE_mean,NMAE_std_pop,RMSE_mean,RMSE_std_pop,MAE_mean,MAE_std_pop,nan_fraction_mean,nan_fraction_std_pop
thomson_scattering-n_e,885.0,0.3280322271250241,0.13715507392266163,0.23404261923507574,0.08061847394856736,4.1903803559084273e+18,1.7520593403758474e+18,2.989729401539041e+18,1.0298441482965523e+18,0.2760569213015729,0.10383912923239928
thomson_scattering-t_e,885.0,0.4388821874672325,0.3594991662680788,0.22172946438194724,0.07695874450849724,136.6179032195855,111.90707599269118,69.02128947332831,23.956183708065534,0.2760569213015729,0.10383912923239928
task_3-1,885.0,0.3834572072961283,0.19228762612449243,0.2278860418085115,0.06043653158729768,2.095190177954214e+18,8.760296701879233e+17,1.4948647007695204e+18,5.149220741482762e+17,0.2760569213015729,0.10383912923239928
