feature_name,n_shots,NRMSE_mean,NRMSE_std_pop,NMAE_mean,NMAE_std_pop,RMSE_mean,RMSE_std_pop,MAE_mean,MAE_std_pop,nan_fraction_mean,nan_fraction_std_pop
thomson_scattering-n_e,885.0,0.3369948881654669,0.14432295705613918,0.24390045853746292,0.08856837147084187,4.304872029759189e+18,1.84362399223709e+18,3.115656346359256e+18,1.1313984824569208e+18,0.2760569213015729,0.10383912923239928
thomson_scattering-t_e,885.0,0.4480924002035289,0.3505121918945253,0.23648542620292543,0.0766028849774002,139.48491397593585,109.10955622482702,73.61461456497561,23.845409599734204,0.2760569213015729,0.10383912923239928
task_3-1,885.0,0.39254364418449794,0.189702125168458,0.24019294237019417,0.06353112862830551,2.152436014879594e+18,9.218119961185454e+17,1.557828173179628e+18,5.6569924122845997e+17,0.2760569213015729,0.10383912923239928
