feature_name,n_shots,NRMSE_mean,NRMSE_std_pop,NMAE_mean,NMAE_std_pop,RMSE_mean,RMSE_std_pop,MAE_mean,MAE_std_pop,nan_fraction_mean,nan_fraction_std_pop
thomson_scattering-n_e,885.0,0.3326972167468745,0.13000564240628956,0.24174131295993298,0.0753703117101333,4.2499723083310413e+18,1.6607303949100713e+18,3.088074784349559e+18,9.628025769811456e+17,0.2760569213015729,0.10383912923239928
thomson_scattering-t_e,885.0,0.4589232653569372,0.33853488633976797,0.2476208351595609,0.08266028735737414,142.85641122409703,105.38118807082567,77.08091205115853,25.730994469070396,0.2760569213015729,0.10383912923239928
task_3-1,885.0,0.39581024105190593,0.18166004705691277,0.24468107405974693,0.059366960410432774,2.124986154165521e+18,8.303651974550356e+17,1.5440373921747794e+18,4.8140128849057254e+17,0.2760569213015729,0.10383912923239928
